Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
True,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"Republic of Korea Army
",S,F9 B5B1058.2,Success,20 July 2020,21:30
True,KSC,Starlink,"14,932 kg",LEO,"SpaceXSpaceflight Industries (BlackSky)
",S,F9 B5,Success,7 August 2020,05:12
True,CCAFS,Starlink,"~15,440 kg",LEO,"SpaceXPlanet Labs
",S,F9 B5B1049.6,Success,18 August 2020,14:31
True,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"CONAEPlanetIQTyvak
",S,F9 B5,Success,30 August 2020,23:18
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1060.2,Success,3 September 2020,12:46:14
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1058.3,Success,6 October 2020,11:29:34
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1051.6,Success,18 October 2020,12:25:57
True,CCAFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5,Success,24 October 2020,15:31:34
True,CCAFS,GPS III,"4,311 kg",MEO,"USSF
",S,F9 B5,Success,5 November 2020,23:24:23
True,KSC,Crew-1,"~12,500 kg",LEO,"NASA (CCP)[497]
",S,F9 B5,Success,16 November 2020,00:27
True,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"NASA / NOAA / ESA / EUMETSAT
",S,F9 B5,Success,21 November 2020,17:17:08
True,CCAFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Success,25 November 2020,02:13
True,KSC,SpaceX CRS-21,"2,972 kg",LEO,"NASA (CRS)
",S,F9 B5 ♺,Success,6 December 2020,16:17:08
True,CCSFS,SXM-7,"7,000 kg",GTO,"Sirius XM
",S,F9 B5 ♺,Success,13 December 2020,17:30:00
True,KSC,NROL-108,C,LEO,"NRO
",S,F9 B5 ♺,Success,19 December 2020,14:00:00
True,CCSFS,Türksat 5A,"3,500 kg",GTO,"Türksat
",S,F9 B5,Success,8 January 2021,02:15
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1051.8,Success,20 January 2021,13:02
True,CCSFS,Transporter-1,"~5,000 kg",SSO,"Various
",S,F9 B5B1058.5,Success,24 January 2021,15:00
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Success,4 February 2021,06:19
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Failure,16 February 2021,03:59:37
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Success,4 March 2021,08:24
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Success,11 March 2021,08:13:29
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Success,14 March 2021,10:01
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1060.6,Success,24 March 2021,08:28
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5 ♺,Success,7 April 2021,16:34
True,KSC,Crew-2,"~13,000 kg",LEO,"NASA (CTS)[497]
",S,F9 B5B1061.2,Success,23 April 2021,9:49
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1060.7,Success,29 April 2021,03:44
True,KSC,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1049.9,Success,4 May 2021,19:01
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1051.10,Success,9 May 2021,06:42
True,KSC,Starlink,"~14,000 kg",LEO,"SpaceX Capella Space and Tyvak
",S,F9 B5B1058.8,Success,15 May 2021,22:56
True,CCSFS,Starlink,"15,600 kg",LEO,"SpaceX
",S,F9 B5B1063.2,Success,26 May 2021,18:59
True,KSC,SpaceX CRS-22,"3,328 kg",LEO,"NASA (CRS)
",S,F9 B5B1067.1,Success,3 June 2021,17:29
True,CCSFS,SXM-8,"7,000 kg",GTO,"Sirius XM
",S,F9 B5,Success,6 June 2021,04:26
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
True,,,,,,,,,,
